longitude,latitude,ID,code
-70.70591006899933,43.07262412894294,1,1
-70.70600954802659,43.071890555946844,1,1
-70.70524281692595,43.07160915090678,1,1
-70.70586865366737,43.07113128356508,1,1
-70.70586635506744,43.06960857096853,2,2
-70.70490489566296,43.06950576843087,2,2
-70.70552665514566,43.068881545598344,2,2
-70.70503132281624,43.068303256667555,2,2
-70.70524084010573,43.06721664055273,2,2
-70.70470722340973,43.066697487874514,2,2
-70.7051603373468,43.06575365978951,2,2
-70.70453958785835,43.06497225221545,2,2
-70.70487617215448,43.064147295603846,2,2
-70.70484858647912,43.06315206338388,2,2
-70.70382360387926,43.063635870564724,3,3
-70.70407872688232,43.062753561987826,3,3
-70.70449514737503,43.06192741705675,3,3
-70.70422723939076,43.06090648081403,4,4
-70.7035599495701,43.06132638972333,4,4
-70.70400899008935,43.06023620787867,4,4
-70.70323349964012,43.05963279885509,4,4
-70.70369388361986,43.058952420199844,4,4
-70.70351070266564,43.05810592194226,4,4
-70.70325174394169,43.057406969702704,4,4
-70.70291376709882,43.056738476603286,4,4
-70.70209841547138,43.05613565272035,4,4
-70.7008129828183,43.05586193241467,5,5
-70.70091250202407,43.05512836121505,5,5
-70.69934283191094,43.05468314756898,6,6
-70.69873277752563,43.05428223562645,6,6
-70.6985545288678,43.05361135746287,6,6
-70.69775137634186,43.05344757622074,6,6
-70.69753726401761,43.05292364695124,6,6
-70.69649140599505,43.05264632287068,6,6
-70.69647526522529,43.05206088844659,6,6
-70.69555723488058,43.0520744971697,6,6
-70.69522017847422,43.05143525056121,7,7
-70.69484402190386,43.05082586579332,7,7
-70.69416952032182,43.05098227404157,7,7
-70.69399858411114,43.05057483330516,7,7
-70.69370791070895,43.05016916488292,7,7
-70.69256089449398,43.0505668271888,8,8
-70.69171064081591,43.05014014677096,8,8
-70.6911615092518,43.050499669407195,8,8
-70.69031206993263,43.050102250228875,8,8
-70.68968390716412,43.05049221706277,8,8
-70.68871554072867,43.0501258260077,8,8
-70.68776966481748,43.05057903873886,8,8
-70.68671827185169,43.05009672066538,8,8
-70.68585381219233,43.050607284690784,8,8
-70.68492778357265,43.050328088795005,8,8
-70.6836186472984,43.05064019778441,8,8
-70.68225197841745,43.05030889609902,8,8
-70.68138027941019,43.050555979411975,8,8
-70.68013815935501,43.050398524304754,8,8
-70.6780291221823,43.05066374560406,8,8
-70.6771438376737,43.05041317273112,8,8
-70.67603263231325,43.050663725927876,8,8
-70.67498690380773,43.05038620285025,8,8
