longitude,latitude,ID,code
-123.47517801502894,48.653752506400856,mS,6
-123.47564970157079,48.652720692090575,FS,1
-123.47395457806104,48.65107715929634,FS,1
-123.47483162022478,48.6518731303357,FS,1
-123.47281958231973,48.65095923766088,FS,1
-123.47278273180865,48.652794393112735,FS,1
-123.47360081315466,48.652794393112735,mS,6
-123.47422727184305,48.652787023010525,FS,1
-123.47370399458569,48.65171835818916,mS,6
-123.47349026162141,48.65189524064235,FS,1
-123.4722668246535,48.65118771082958,mS,6
-123.47172143708951,48.654401075395896,mS,6
-123.46909031059829,48.65404731048951,mS,6
-123.46672450778685,48.65483591142666,mS,6
-123.46694561085334,48.65331030026788,mS,6
-123.46876602610077,48.652204784935435,mS,6
-123.47001157337533,48.652853353930475,MS,3
-123.47155929484074,48.65281650341939,MS,3
-123.4715814051474,48.65244062820636,mS,6
-123.47200150097373,48.651828909722404,MS,3
-123.47136030208091,48.65105504898969,FS,1
-123.47211205250697,48.650037974883844,MS,3
-123.47012949501078,48.64909460180015,SC,5
-123.46897975906505,48.64918304302675,SC,5
-123.46905346008721,48.650244337745896,SC,5
-123.46998209296646,48.65098134796753,MS,3
-123.47071910318809,48.64997901406611,MS,3
-123.47025478674847,48.65154147573597,mS,6
-123.46883235702072,48.651209821136234,MS,3
-123.46567058316991,48.65257329004624,mS,6
-123.465434739899,48.65335452088117,S,4
-123.46455032763303,48.65412101151167,GS,2
-123.46089475693374,48.65812297701512,mS,6
-123.46256777013684,48.65650155452753,mS,6
-123.4634964030161,48.65818930793506,mS,6
-123.46519889662807,48.657584959553326,mS,6
